prefix,itemPart,brand,sku,name,description,img,date,marketplace,notes
089102,10387,Gloria Duchin,s2498egj,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10388,Gloria Duchin,2498elj,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10389,Gloria Duchin,2498ESJ,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10390,Gloria Duchin,2498EHJ,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10391,Gloria Duchin,I2270ER,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10392,Gloria Duchin,I2270EP,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10393,Gloria Duchin,I2270EB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10394,Gloria Duchin,2504ECB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10395,Gloria Duchin,GL2270BR,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10396,Gloria Duchin,GL2270PB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10397,Gloria Duchin,GL2270RB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10398,Gloria Duchin,GL2462PB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10399,Gloria Duchin,GL2479PB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10401,Gloria Duchin,1342S,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10402,Gloria Duchin,1344S,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10403,Gloria Duchin,1343S,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10404,Gloria Duchin,1334S,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10405,Gloria Duchin,1436S,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10406,Gloria Duchin,1340S,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10407,Gloria Duchin,1530S,,,,"Wed, 01 Jan 1997 00:00:00 GMT",MASS MARKET,
089102,10408,Gloria Duchin,GL13906/6,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL185,
089102,10409,Gloria Duchin,GL13906/7,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10410,Gloria Duchin,GL13906/8,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10411,Gloria Duchin,GL13906/9,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10412,Gloria Duchin,GL13906/10,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10413,Gloria Duchin,GL13906/11,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10414,Gloria Duchin,GL13906/12,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10415,Gloria Duchin,GL2327JA,,,,"Thu, 01 Jan 1970 05:00:00 GMT",GL190,
089102,10416,Gloria Duchin,GL1480JA,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10417,Gloria Duchin,GL2327FE,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10418,Gloria Duchin,GL1480FE,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
